date,interconnection_point_type,interconnection_point,country,direction,transportation_amount
2020-01-01,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1561493.11
2020-01-01,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51476943.36
2020-01-01,Мережі ОГРМ,ОГРМ,Україна,Вихід,111353382.2
2020-01-01,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,23234.0
2020-01-01,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,64429279.0
2020-01-01,Прямі споживачі,Прямі споживачі,Україна,Вихід,10190647.71
2020-01-01,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9732780.0
2020-01-01,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12796035.0
2020-01-01,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6014390.0
2020-01-01,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3247537.0
2020-01-01,Транскордонні точки,Республіка Молдова,Молдова,Вихід,875432.0
2020-01-01,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,8886008.0
2020-01-01,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,3150071.0
2020-01-01,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,28176758.0
2020-01-01,Транскордонні точки,ГВС Суджа,Росія,Вхід,19281985.0
2020-01-01,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11299396.0
2020-01-01,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,17299435.0
2020-01-02,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1791869.13
2020-01-02,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51644744.62
2020-01-02,Мережі ОГРМ,ОГРМ,Україна,Вихід,116078550.2
2020-01-02,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,24792.0
2020-01-02,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,66156968.0
2020-01-02,Прямі споживачі,Прямі споживачі,Україна,Вихід,10372653.65
2020-01-02,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,7088760.0
