date,hub_name,price_with_vat,price_without_vat
2017-01-05,TTF,8019.32,6682.77
2017-01-05,Gaspool,7994.82,6662.35
2017-01-05,NCG,8204.83,6837.36
2017-01-06,TTF,7901.85,6584.87
2017-01-06,Gaspool,7936.53,6613.77
2017-01-06,NCG,7981.62,6651.35
2017-01-06,CEGH,8089.13,6740.94
2017-01-10,TTF,8708.49,7257.07
2017-01-10,Gaspool,8313.05,6927.54
2017-01-10,NCG,8798.36,7331.97
2017-01-10,CEGH,8730.06,7275.05
2017-01-11,TTF,8925.07,7437.56
2017-01-11,Gaspool,8509.99,7091.66
2017-01-11,NCG,9051.4,7542.83
2017-01-11,CEGH,8914.24,7428.53
2017-01-12,TTF,8921.0,7434.17
2017-01-12,Gaspool,8616.89,7180.74
2017-01-12,NCG,8974.67,7478.89
2017-01-12,CEGH,9056.96,7547.47
2017-01-13,TTF,8879.62,7399.68
2017-01-13,Gaspool,8707.77,7256.47
2017-01-13,NCG,9109.97,7591.64
2017-01-13,CEGH,9139.22,7616.02
2017-01-16,TTF,8597.22,7164.35
2017-01-16,Gaspool,8882.59,7402.16
2017-01-16,NCG,8715.82,7263.18
2017-01-16,CEGH,9253.21,7711.01
2017-01-17,TTF,8919.86,7433.22
2017-01-17,Gaspool,8458.63,7048.86
2017-01-17,NCG,9196.6,7663.83
2017-01-17,CEGH,8953.07,7460.89
2017-01-18,TTF,8962.35,7468.62
2017-01-18,Gaspool,8795.46,7329.55
2017-01-18,NCG,8980.9,7484.08
2017-01-18,CEGH,9333.24,7777.7
2017-01-19,TTF,9130.06,7608.38
2017-01-19,Gaspool,8607.02,7172.52
2017-01-19,NCG,9233.2,7694.33
2017-01-19,CEGH,8956.94,7464.12
2017-01-20,TTF,9146.25,7621.87
2017-01-20,Gaspool,8778.43,7315.36
2017-01-20,NCG,9330.15,7775.12
2017-01-20,CEGH,9271.3,7726.08
2017-01-23,TTF,9643.49,8036.24
2017-01-23,Gaspool,9038.95,7532.46
2017-01-23,NCG,9735.09,8112.57
2017-01-23,CEGH,9225.81,7688.17
2017-01-24,TTF,9545.43,7954.52
2017-01-24,Gaspool,9424.0,7853.33
2017-01-24,NCG,9655.81,8046.51
2017-01-24,CEGH,9670.53,8058.77
2017-01-25,TTF,9104.4,7587.0
2017-01-25,Gaspool,9288.27,7740.22
2017-01-25,NCG,9280.91,7734.09
2017-01-25,CEGH,9648.65,8040.54
2017-01-26,TTF,8945.52,7454.6
2017-01-26,Gaspool,8890.43,7408.69
2017-01-26,NCG,9165.86,7638.22
2017-01-26,CEGH,9158.52,7632.1
2017-01-27,TTF,8711.75,7259.79
2017-01-27,Gaspool,8711.75,7259.79
2017-01-27,NCG,8858.09,7381.74
2017-01-27,CEGH,9055.64,7546.37
2017-01-30,TTF,9055.25,7546.04
2017-01-30,Gaspool,8701.29,7251.07
2017-01-30,NCG,9146.48,7622.07
2017-01-30,CEGH,8799.82,7333.18
2017-01-31,TTF,9170.79,7642.32
2017-01-31,Gaspool,8855.68,7379.73
2017-01-31,NCG,9369.99,7808.32
2017-01-31,CEGH,9105.59,7587.99
2017-02-01,TTF,9651.88,8043.23
2017-02-01,Gaspool,9315.23,7762.69
2017-02-01,NCG,9673.83,8061.52
2017-02-01,CEGH,9494.53,7912.11
2017-02-02,TTF,9554.2,7961.83
2017-02-02,Gaspool,9444.4,7870.33
2017-02-02,NCG,9645.7,8038.08
2017-02-02,CEGH,9956.81,8297.34
2017-02-03,TTF,9931.81,8276.51
2017-02-03,Gaspool,9612.99,8010.82
2017-02-03,NCG,9968.46,8307.05
2017-02-03,CEGH,9726.6,8105.5
2017-02-06,TTF,9906.04,8255.03
2017-02-06,Gaspool,9723.33,8102.77
2017-02-06,NCG,9997.39,8331.16
2017-02-06,CEGH,9854.88,8212.4
2017-02-07,TTF,9536.86,7947.38
2017-02-07,Gaspool,9801.04,8167.53
2017-02-07,NCG,9782.69,8152.24
2017-02-07,CEGH,9643.26,8036.05
2017-02-08,TTF,8942.64,7452.2
2017-02-08,Gaspool,9395.84,7829.87
2017-02-08,NCG,8989.78,7491.48
2017-02-08,CEGH,9453.84,7878.2
2017-02-09,TTF,8913.21,7427.67
2017-02-09,Gaspool,8913.21,7427.67
2017-02-09,NCG,9118.76,7598.97
2017-02-09,CEGH,9079.1,7565.92
2017-02-10,TTF,8790.64,7325.53
2017-02-10,Gaspool,8863.24,7386.03
2017-02-10,NCG,8954.0,7461.67
2017-02-10,CEGH,9073.81,7561.51
2017-02-13,TTF,8429.4,7024.5
2017-02-13,Gaspool,8781.82,7318.18
2017-02-13,NCG,8690.99,7242.49
2017-02-13,CEGH,8901.72,7418.1
2017-02-14,TTF,8242.34,6868.62
2017-02-14,Gaspool,8576.09,7146.74
2017-02-14,NCG,8568.83,7140.69
2017-02-14,CEGH,8674.04,7228.37
2017-02-15,TTF,8330.42,6942.02
2017-02-15,Gaspool,8304.98,6920.82
2017-02-15,NCG,8548.48,7123.73
2017-02-15,CEGH,8544.85,7120.71
2017-02-16,TTF,8243.48,6869.57
2017-02-16,Gaspool,8171.89,6809.91
2017-02-16,NCG,8415.31,7012.76
2017-02-16,CEGH,8440.37,7033.64
2017-02-17,TTF,8072.01,6726.67
2017-02-17,Gaspool,8295.95,6913.29
2017-02-17,NCG,8368.19,6973.49
2017-02-17,CEGH,8487.39,7072.82
2017-02-20,TTF,8052.84,6710.7
2017-02-20,Gaspool,8070.92,6725.77
