date,country,amount_storage,consumption,amount_storage_perc,trend,injection,withdrawal,technical_capacity,injection_capacity,withdrawal_capacity
2011-01-01,Австрія,22.6524,90.0,55.83,-0.26,5.27,110.3,40.5749,397.47,494.15
2011-01-01,Бельгія,4.2517,165.0,63.41,-0.34,0.0,22.5,6.7051,67.92,139.33
2011-01-01,Болгарія,4.7395,31.0,75.59,0.0,0.0,0.0,6.27,47.88,39.9
2011-01-01,Великобританія,,819.0,,,,,,,
2011-01-01,Данія,9.2047,43.0,74.07,0.33,62.51,21.3,12.4273,94.16,207.3
2011-01-01,Ірландія,,48.0,,,,,,,
2011-01-01,Іспанія,15.6717,336.0,55.99,-0.41,0.0,115.8,27.988,105.28,147.87
2011-01-01,Італія,126.4743,742.0,80.13,-0.04,0.0,58.7,157.8407,1422.78,2462.5
2011-01-01,Латвія,13.6863,15.0,56.51,-0.47,0.0,112.6,24.219,0.0,279.91
2011-01-01,Нідерланди,84.804,409.0,81.13,-0.29,26.93,329.0,104.5341,699.28,2209.87
2011-01-01,Німеччина,45.5548,809.0,60.74,-0.11,52.2,131.5,74.9935,1092.5,1890.54
2011-01-01,Польща,6.3093,165.0,81.38,-0.28,0.0,22.1,7.753,134.24,319.32
2011-01-01,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,Румунія,,129.0,,,,,,,
2011-01-01,Словаччина,21.8689,54.0,73.38,-0.56,0.0,167.3,29.8013,290.06,353.69
2011-01-01,Угорщина,52.0253,109.0,77.5,-0.4,0.0,266.3,67.1254,473.13,832.72
2011-01-01,Франція,17.8327,430.0,55.5,-0.33,0.12,106.2,32.1287,255.64,511.27
2011-01-01,Хорватія,,30.0,,,,,,,
2011-01-01,Чеська Республіка,15.3114,79.0,60.88,-0.29,0.0,72.4,25.1492,312.58,427.68
2011-01-01,Швеція,,12.0,,,,,,,
2011-01-02,Австрія,22.518,90.0,55.5,-0.33,1.3,135.7,40.5749,397.47,494.15
2011-01-02,Бельгія,4.2355,165.0,63.17,-0.33,0.0,21.9,6.7049,67.92,139.32
2011-01-02,Болгарія,4.7395,31.0,75.59,0.0,0.0,0.0,6.27,47.88,39.9
2011-01-02,Великобританія,,819.0,,,,,,,
2011-01-02,Данія,9.1712,43.0,73.8,-0.27,21.86,55.3,12.4273,94.16,207.3
2011-01-02,Ірландія,,48.0,,,,,,,
2011-01-02,Іспанія,15.5564,336.0,55.58,-0.41,0.0,115.3,27.988,105.28,147.87
2011-01-02,Італія,126.1708,742.0,79.94,-0.19,0.0,303.4,157.8407,1422.78,2462.5
2011-01-02,Латвія,13.5656,15.0,56.01,-0.5,0.0,120.7,24.219,0.0,279.91
2011-01-02,Нідерланди,84.4882,409.0,80.82,-0.36,11.2,383.1,104.5341,699.28,2209.87
2011-01-02,Німеччина,45.4182,809.0,60.56,-0.18,49.69,186.3,74.9935,1092.43,1890.54
2011-01-02,Польща,6.2872,165.0,81.09,-0.28,0.0,22.1,7.753,134.24,319.32
2011-01-02,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-02,Румунія,,129.0,,,,,,,
2011-01-02,Словаччина,21.6792,54.0,72.75,-0.64,0.0,189.7,29.8013,290.06,353.69
2011-01-02,Угорщина,51.6607,109.0,76.96,-0.54,0.0,363.0,67.1254,473.13,832.72
2011-01-02,Франція,17.7086,430.0,55.12,-0.39,0.0,124.1,32.1287,255.64,511.27
2011-01-02,Хорватія,,30.0,,,,,,,
2011-01-02,Чеська Республіка,15.2407,79.0,60.6,-0.28,0.0,70.8,25.1492,312.58,427.68
2011-01-02,Швеція,,12.0,,,,,,,
2011-01-03,Австрія,22.3013,90.0,54.96,-0.53,0.43,217.1,40.5749,397.47,494.15
2011-01-03,Бельгія,4.2193,165.0,62.93,-0.36,0.0,23.9,6.7046,67.92,139.32
2011-01-03,Болгарія,4.7114,31.0,75.14,-0.45,0.0,28.1,6.27,47.88,39.9
2011-01-03,Великобританія,,819.0,,,,,,,
2011-01-03,Данія,9.0488,43.0,72.81,-0.99,12.93,135.3,12.4273,94.16,207.3
2011-01-03,Ірландія,,48.0,,,,,,,
2011-01-03,Іспанія,15.4415,336.0,55.17,-0.41,0.0,114.9,27.988,105.28,147.87
2011-01-03,Італія,125.4576,742.0,79.48,-0.45,0.0,713.2,157.8407,1422.78,2462.5
2011-01-03,Латвія,13.4406,15.0,55.5,-0.52,0.0,125.0,24.219,0.0,279.91
2011-01-03,Нідерланди,84.0646,409.0,80.42,-0.49,10.05,521.7,104.5341,699.28,2209.87
2011-01-03,Німеччина,45.1125,809.0,60.16,-0.41,87.2,392.9,74.9935,1092.33,1890.54
2011-01-03,Польща,6.21,165.0,80.1,-1.0,0.0,77.2,7.753,134.24,319.32
2011-01-03,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-03,Румунія,,129.0,,,,,,,
2011-01-03,Словаччина,21.4553,54.0,71.99,-0.75,0.0,223.9,29.8013,290.06,353.69
2011-01-03,Угорщина,51.2632,109.0,76.37,-0.59,0.0,395.9,67.1254,473.13,832.72
2011-01-03,Франція,17.5232,430.0,54.54,-0.58,0.0,185.4,32.1287,255.64,511.27
2011-01-03,Хорватія,,30.0,,,,,,,
2011-01-03,Чеська Республіка,15.0719,79.0,59.93,-0.67,0.0,168.8,25.1492,312.58,427.68
2011-01-03,Швеція,,12.0,,,,,,,
2011-01-04,Австрія,22.081,90.0,54.42,-0.54,0.2,220.5,40.5749,397.47,494.15
2011-01-04,Бельгія,4.2014,165.0,62.66,-1.01,0.0,67.4,6.7052,67.92,139.33
2011-01-04,Болгарія,4.6781,31.0,74.61,-0.53,0.0,33.2,6.27,47.88,39.9
2011-01-04,Великобританія,,819.0,,,,,,,
2011-01-04,Данія,8.9252,43.0,71.82,-0.99,14.01,137.6,12.4273,94.16,207.3
2011-01-04,Ірландія,,48.0,,,,,,,
2011-01-04,Іспанія,15.3271,336.0,54.76,-0.41,0.0,114.4,27.988,105.28,147.87
2011-01-04,Італія,124.5125,742.0,78.88,-0.6,0.0,945.1,157.8407,1422.78,2462.5
2011-01-04,Латвія,13.3137,15.0,54.97,-0.52,0.0,126.9,24.219,0.0,279.91
2011-01-04,Нідерланди,83.5739,409.0,79.95,-0.48,30.02,531.8,104.5341,699.28,2209.87
2011-01-04,Німеччина,44.5935,809.0,59.46,-0.69,0.02,519.0,74.9935,1092.21,1890.54
2011-01-04,Польща,6.1107,165.0,78.82,-1.28,0.0,99.3,7.753,134.24,319.32
2011-01-04,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,Румунія,,129.0,,,,,,,
2011-01-04,Словаччина,21.1895,54.0,71.1,-0.89,0.0,265.8,29.8013,290.06,353.69
2011-01-04,Угорщина,50.8576,109.0,75.77,-0.6,0.0,404.2,67.1254,473.13,832.72
2011-01-04,Франція,17.3175,430.0,53.9,-0.64,0.0,205.7,32.1287,255.64,511.27
2011-01-04,Хорватія,,30.0,,,,,,,
2011-01-04,Чеська Республіка,14.9134,79.0,59.3,-0.63,0.0,158.5,25.1492,312.58,427.68
2011-01-04,Швеція,,12.0,,,,,,,
2011-01-05,Австрія,21.8331,90.0,53.81,-0.61,1.1,249.1,40.5749,397.47,494.15
2011-01-05,Бельгія,4.162,165.0,62.07,-0.52,0.0,34.7,6.7052,67.92,139.33
2011-01-05,Болгарія,4.6447,31.0,74.08,-0.53,0.0,33.4,6.27,47.88,39.9
2011-01-05,Великобританія,,819.0,,,,,,,
2011-01-05,Данія,8.8204,43.0,70.98,-0.84,23.24,128.0,12.4273,94.16,207.3
2011-01-05,Ірландія,,48.0,,,,,,,
2011-01-05,Іспанія,15.2223,336.0,54.39,-0.37,0.0,104.8,27.988,105.28,147.87
2011-01-05,Італія,123.6864,742.0,78.36,-0.52,0.0,826.2,157.8407,1422.78,2462.5
2011-01-05,Латвія,13.1899,15.0,54.46,-0.51,0.0,123.8,24.219,0.0,279.91
2011-01-05,Нідерланди,83.0905,409.0,79.49,-0.48,29.52,529.9,104.5341,699.28,2209.87
2011-01-05,Німеччина,44.091,809.0,58.79,-0.67,8.4,511.0,74.9935,1092.06,1890.54
2011-01-05,Польща,5.9784,165.0,77.11,-1.71,0.0,132.4,7.753,134.24,319.32
2011-01-05,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-05,Румунія,,129.0,,,,,,,
2011-01-05,Словаччина,20.9263,54.0,70.22,-0.88,0.0,263.2,29.8013,290.06,353.69
2011-01-05,Угорщина,50.4574,109.0,75.17,-0.59,0.0,398.7,67.1254,473.13,832.72
2011-01-05,Франція,17.1749,430.0,53.46,-0.44,0.2,142.8,32.1287,255.64,511.27
2011-01-05,Хорватія,,30.0,,,,,,,
2011-01-05,Чеська Республіка,14.7505,79.0,58.65,-0.65,0.0,162.9,25.1492,312.58,427.68
2011-01-05,Швеція,,12.0,,,,,,,
2011-01-06,Австрія,21.6199,90.0,53.28,-0.53,2.59,215.7,40.5749,397.47,494.15
2011-01-06,Бельгія,5.1327,165.0,61.68,-0.28,0.0,23.1,8.3218,84.3,172.92
2011-01-06,Болгарія,4.6111,31.0,73.54,-0.54,0.0,33.6,6.27,47.88,39.9
2011-01-06,Великобританія,,819.0,,,,,,,
2011-01-06,Данія,8.7927,43.0,70.75,-0.22,39.87,67.6,12.4273,94.16,207.3
2011-01-06,Ірландія,,48.0,,,,,,,
2011-01-06,Іспанія,15.1378,336.0,54.09,-0.3,0.0,84.5,27.988,105.28,147.87
2011-01-06,Італія,123.0785,742.0,77.98,-0.39,0.0,607.8,157.8407,1422.78,2462.5
2011-01-06,Латвія,13.0581,15.0,53.92,-0.54,0.0,131.8,24.219,0.0,279.91
2011-01-06,Нідерланди,82.5977,409.0,79.02,-0.32,20.45,358.0,104.5341,699.28,2209.87
2011-01-06,Німеччина,43.7259,809.0,58.31,-0.49,30.97,396.0,74.9935,1091.95,1890.54
2011-01-06,Польща,5.8791,165.0,75.83,-1.28,0.0,99.3,7.753,134.24,319.32
2011-01-06,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-06,Румунія,,129.0,,,,,,,
2011-01-06,Словаччина,20.7106,54.0,69.5,-0.72,0.0,215.6,29.8013,290.06,353.69
2011-01-06,Угорщина,50.0683,109.0,74.59,-0.58,0.0,387.5,67.1254,473.13,832.72
2011-01-06,Франція,17.085,430.0,53.18,-0.28,0.2,90.1,32.1287,255.64,511.27
2011-01-06,Хорватія,,30.0,,,,,,,
2011-01-06,Чеська Республіка,14.5996,79.0,58.05,-0.6,0.0,150.9,25.1492,312.58,427.68
2011-01-06,Швеція,,12.0,,,,,,,
2011-01-07,Австрія,21.4809,90.0,52.94,-0.34,4.05,143.0,40.5749,397.47,494.15
2011-01-07,Бельгія,5.1111,165.0,61.42,-0.17,0.0,13.9,8.3216,84.3,172.92
2011-01-07,Болгарія,4.5776,31.0,73.01,-0.53,0.0,33.5,6.27,47.88,39.9
2011-01-07,Великобританія,,819.0,,,,,,,
2011-01-07,Данія,8.7648,43.0,70.53,-0.22,30.35,58.2,12.4273,94.16,207.3
2011-01-07,Ірландія,,48.0,,,,,,,
2011-01-07,Іспанія,15.0533,336.0,53.78,-0.3,0.0,84.5,27.988,105.28,147.87
2011-01-07,Італія,122.702,742.0,77.74,-0.24,0.0,376.5,157.8407,1422.78,2462.5
2011-01-07,Латвія,12.9465,15.0,53.46,-0.46,0.0,111.6,24.219,0.0,279.91
2011-01-07,Нідерланди,82.2277,409.0,78.66,-0.27,25.09,303.5,104.5341,699.28,2209.87
2011-01-07,Німеччина,43.4885,809.0,57.99,-0.32,31.82,269.2,74.9935,1091.92,1890.54
2011-01-07,Польща,5.835,165.0,75.26,-0.57,11.03,55.2,7.753,134.24,319.32
2011-01-07,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,Румунія,,129.0,,,,,,,
2011-01-07,Словаччина,20.5159,54.0,68.84,-0.65,0.0,194.7,29.8013,290.06,353.69
2011-01-07,Угорщина,49.7365,109.0,74.09,-0.49,0.0,330.2,67.1254,473.13,832.72
2011-01-07,Франція,16.9881,430.0,52.88,-0.3,0.15,97.0,32.1287,255.64,511.27
2011-01-07,Хорватія,,30.0,,,,,,,
2011-01-07,Чеська Республіка,14.5155,79.0,57.72,-0.33,0.0,84.1,25.1492,312.58,427.68
2011-01-07,Швеція,,12.0,,,,,,,
2011-01-08,Австрія,21.4086,90.0,52.76,-0.18,2.06,74.4,40.5749,397.47,494.15
2011-01-08,Бельгія,5.1073,165.0,61.37,-0.06,0.0,4.6,8.3218,84.3,172.92
2011-01-08,Болгарія,4.5443,31.0,72.48,-0.53,0.0,33.3,6.27,47.88,39.9
2011-01-08,Великобританія,,819.0,,,,,,,
2011-01-08,Данія,8.75,43.0,70.41,-0.12,48.18,63.0,12.4273,94.16,207.3
2011-01-08,Ірландія,,48.0,,,,,,,
2011-01-08,Іспанія,14.9991,336.0,53.59,-0.19,0.0,54.2,27.988,105.28,147.87
2011-01-08,Італія,122.2408,742.0,77.45,-0.29,0.0,461.2,157.8407,1422.78,2462.5
2011-01-08,Латвія,12.8454,15.0,53.04,-0.42,0.0,101.1,24.219,0.0,279.91
2011-01-08,Нідерланди,82.0076,409.0,78.45,-0.15,44.0,198.9,104.5341,699.28,2209.87
2011-01-08,Німеччина,43.5547,809.0,58.08,0.09,84.48,18.3,74.9935,1091.9,1890.54
2011-01-08,Польща,5.835,165.0,75.26,0.0,33.09,33.1,7.753,134.24,319.32
2011-01-08,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,Румунія,,129.0,,,,,,,
2011-01-08,Словаччина,20.374,54.0,68.37,-0.48,0.0,141.9,29.8013,290.06,353.69
2011-01-08,Угорщина,49.4714,109.0,73.7,-0.39,0.0,263.5,67.1254,473.13,832.72
2011-01-08,Франція,16.9053,430.0,52.62,-0.26,1.42,84.2,32.1287,255.64,511.27
2011-01-08,Хорватія,,30.0,,,,,,,
2011-01-08,Чеська Республіка,14.5215,79.0,57.74,0.02,21.06,15.0,25.1492,312.58,427.68
2011-01-08,Швеція,,12.0,,,,,,,
2011-01-09,Австрія,21.3259,90.0,52.56,-0.2,1.08,83.7,40.5749,397.47,494.15
2011-01-09,Бельгія,5.106,165.0,61.36,0.0,0.0,0.3,8.3216,84.3,172.92
2011-01-09,Болгарія,4.5115,31.0,71.95,-0.52,0.0,32.8,6.27,47.88,39.9
2011-01-09,Великобританія,,819.0,,,,,,,
2011-01-09,Данія,8.744,43.0,70.36,-0.05,41.39,47.5,12.4273,94.16,207.3
2011-01-09,Ірландія,,48.0,,,,,,,
2011-01-09,Іспанія,14.9611,336.0,53.46,-0.14,0.0,38.1,27.988,105.28,147.87
2011-01-09,Італія,121.9176,742.0,77.24,-0.2,0.0,323.1,157.8407,1422.78,2462.5
2011-01-09,Латвія,12.7494,15.0,52.64,-0.4,0.0,96.0,24.219,0.0,279.91
2011-01-09,Нідерланди,81.8098,409.0,78.26,-0.27,16.24,295.4,104.5341,699.28,2209.87
2011-01-09,Німеччина,43.7009,809.0,58.27,0.19,164.71,18.5,74.9935,1091.89,1890.54
2011-01-09,Польща,5.8681,165.0,75.69,0.43,55.15,22.1,7.753,134.24,319.32
2011-01-09,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-09,Румунія,,129.0,,,,,,,
2011-01-09,Словаччина,20.2501,54.0,67.95,-0.42,0.0,123.9,29.8013,290.06,353.69
2011-01-09,Угорщина,49.1976,109.0,73.29,-0.41,0.0,272.5,67.1254,473.13,832.72
2011-01-09,Франція,16.7938,430.0,52.27,-0.35,0.11,111.6,32.1287,255.64,511.27
2011-01-09,Хорватія,,30.0,,,,,,,
2011-01-09,Чеська Республіка,14.5258,79.0,57.76,0.02,14.72,10.4,25.1492,312.58,427.68
2011-01-09,Швеція,,12.0,,,,,,,
2011-01-10,Австрія,21.1791,90.0,52.2,-0.36,0.37,147.1,40.5749,397.47,494.15
2011-01-10,Бельгія,5.1084,165.0,61.38,-0.5,0.0,41.3,8.3221,84.3,172.93
2011-01-10,Болгарія,4.4787,31.0,71.43,-0.52,0.0,32.8,6.27,47.88,39.9
2011-01-10,Великобританія,,819.0,,,,,,,
2011-01-10,Данія,8.7076,43.0,70.07,-0.29,29.7,66.1,12.4273,94.16,207.3
2011-01-10,Ірландія,,48.0,,,,,,,
2011-01-10,Іспанія,14.887,336.0,53.19,-0.26,0.0,74.1,27.988,105.28,147.87
2011-01-10,Італія,121.2165,742.0,76.8,-0.44,0.0,701.2,157.8407,1422.78,2462.5
2011-01-10,Латвія,12.6507,15.0,52.23,-0.41,0.0,98.7,24.219,0.0,279.91
2011-01-10,Нідерланди,81.4663,409.0,77.93,-0.32,21.29,358.0,104.5341,699.28,2209.87
2011-01-10,Німеччина,43.4161,809.0,57.89,-0.38,66.3,351.1,74.9935,1091.84,1890.54
2011-01-10,Польща,5.846,165.0,75.4,-0.28,22.06,44.1,7.753,134.24,319.32
2011-01-10,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-10,Румунія,,129.0,,,,,,,
2011-01-10,Словаччина,20.0901,54.0,67.41,-0.54,0.0,160.0,29.8013,290.06,353.69
2011-01-10,Угорщина,48.9023,109.0,72.85,-0.44,0.0,293.9,67.1254,473.13,832.72
2011-01-10,Франція,16.6037,430.0,51.68,-0.59,0.11,190.2,32.1287,255.64,511.27
2011-01-10,Хорватія,,30.0,,,,,,,
2011-01-10,Чеська Республіка,14.5134,79.0,57.71,-0.05,12.92,25.3,25.1492,312.58,427.68
2011-01-10,Швеція,,12.0,,,,,,,
2011-01-11,Австрія,21.0384,90.0,51.85,-0.35,2.54,143.3,40.5749,397.47,494.15
2011-01-11,Бельгія,5.1064,165.0,61.36,-0.7,0.0,58.6,8.3219,84.3,172.92
2011-01-11,Болгарія,4.4454,31.0,70.9,-0.53,0.0,33.2,6.27,47.88,39.9
2011-01-11,Великобританія,,819.0,,,,,,,
2011-01-11,Данія,8.6574,43.0,69.66,-0.4,19.13,69.4,12.4273,94.16,207.3
2011-01-11,Ірландія,,48.0,,,,,,,
2011-01-11,Іспанія,14.8031,336.0,52.89,-0.3,0.0,83.9,27.988,105.28,147.87
2011-01-11,Італія,120.683,742.0,76.46,-0.34,0.0,533.4,157.8407,1422.78,2462.5
2011-01-11,Латвія,12.5412,15.0,51.78,-0.45,0.0,109.6,24.219,0.0,279.91
2011-01-11,Нідерланди,81.1061,409.0,77.59,-0.39,22.43,434.8,104.5341,699.28,2209.87
2011-01-11,Німеччина,43.0959,809.0,57.47,-0.43,26.61,346.8,74.9935,1091.77,1890.54
2011-01-11,Польща,5.8129,165.0,74.98,-0.43,0.0,33.1,7.753,134.24,319.32
2011-01-11,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-11,Румунія,,129.0,,,,,,,
2011-01-11,Словаччина,19.9385,54.0,66.9,-0.51,0.0,151.6,29.8013,290.06,353.69
2011-01-11,Угорщина,48.637,109.0,72.46,-0.39,0.0,263.6,67.1254,473.13,832.72
2011-01-11,Франція,16.4477,430.0,51.19,-0.49,0.12,156.1,32.1287,255.64,511.27
2011-01-11,Хорватія,,30.0,,,,,,,
2011-01-11,Чеська Республіка,14.4797,79.0,57.58,-0.13,30.41,64.1,25.1492,312.58,427.68
2011-01-11,Швеція,,12.0,,,,,,,
2011-01-12,Австрія,20.9489,90.0,51.63,-0.22,4.53,94.0,40.5749,397.47,494.15
2011-01-12,Бельгія,5.0757,165.0,60.99,-0.87,0.0,72.3,8.322,84.3,172.93
2011-01-12,Болгарія,4.4122,31.0,70.37,-0.53,0.0,33.2,6.27,47.88,39.9
2011-01-12,Великобританія,,819.0,,,,,,,
2011-01-12,Данія,8.6343,43.0,69.48,-0.19,20.27,43.3,12.4273,94.16,207.3
2011-01-12,Ірландія,,48.0,,,,,,,
2011-01-12,Іспанія,14.705,336.0,52.54,-0.35,0.0,98.1,27.988,105.28,147.87
2011-01-12,Італія,120.0477,742.0,76.06,-0.4,0.0,635.3,157.8407,1422.78,2462.5
2011-01-12,Латвія,12.4406,15.0,51.37,-0.42,0.0,100.6,24.219,0.0,279.91
2011-01-12,Нідерланди,80.7178,409.0,77.22,-0.28,24.37,312.4,104.5341,699.28,2209.87
2011-01-12,Німеччина,42.812,809.0,57.09,-0.38,24.73,308.6,74.9935,1091.73,1890.54
2011-01-12,Польща,5.7909,165.0,74.69,-0.28,0.0,22.1,7.753,134.24,319.32
2011-01-12,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-12,Румунія,,129.0,,,,,,,
2011-01-12,Словаччина,19.8305,54.0,66.54,-0.36,0.0,108.0,29.8013,290.06,353.69
2011-01-12,Угорщина,48.3766,109.0,72.07,-0.39,0.0,258.8,67.1254,473.13,832.72
2011-01-12,Франція,16.3364,430.0,50.85,-0.35,0.4,111.7,32.1287,255.64,511.27
2011-01-12,Хорватія,,30.0,,,,,,,
2011-01-12,Чеська Республіка,14.4597,79.0,57.5,-0.08,32.25,52.2,25.1492,312.58,427.68
2011-01-12,Швеція,,12.0,,,,,,,
