date,psg_bcm,notes,source,confidence
2024-01-01,9.3,start of winter 2023/24,estimated
2024-04-01,8.0,start of injection season 2024,estimated
2024-09-01,12.0,pre-winter 2024,estimated
2024-11-01,14.5,injection season result,estimated
2025-01-01,13.1,+11% vs 2024 start (4.7 bcm long-term buffer),EXPRO Consulting confirmed
2025-02-01,11.5,withdrawal + attacks on production,estimated
2025-04-17,5.41,start of injection season 2025 (-35% vs 2024),EXPRO Consulting confirmed
2025-05-24,6.47,after 1.06 bcm injected since Apr-17,EXPRO Consulting confirmed
2025-09-01,12.05,marginally above same date 2024,EXPRO Consulting confirmed
2026-01-01,10.5,estimate (less withdrawal due to heavy imports),estimated
2026-03-01,8.0,current estimate,estimated
